feature,importance
landscape_feat_1917,0.0
landscape_feat_1820,0.0
landscape_feat_1836,0.0
landscape_feat_1830,0.0
landscape_feat_1835,0.0
landscape_feat_1901,0.0
landscape_feat_1902,0.0
landscape_feat_1903,0.0
landscape_feat_1834,0.0
landscape_feat_1904,0.0
landscape_feat_1833,0.0
landscape_feat_1832,0.0
landscape_feat_1831,0.0
landscape_feat_1907,0.0
landscape_feat_1909,0.0
landscape_feat_1829,0.0
landscape_feat_1915,0.0
landscape_feat_1828,0.0
landscape_feat_1827,0.0
landscape_feat_1910,0.0
landscape_feat_1911,0.0
landscape_feat_1826,0.0
landscape_feat_1825,0.0
landscape_feat_1912,0.0
landscape_feat_1913,0.0
landscape_feat_1914,0.0
landscape_feat_1823,0.0
landscape_feat_1822,0.0
total_persistence_H0,0.0
landscape_feat_1693,0.0
landscape_feat_1756,0.0
landscape_feat_1497,0.0
landscape_feat_1490,0.0
landscape_feat_1491,0.0
landscape_feat_1492,0.0
landscape_feat_1493,0.0
landscape_feat_1494,0.0
landscape_feat_1495,0.0
landscape_feat_1496,0.0
landscape_feat_1498,0.0
landscape_feat_1509,0.0
landscape_feat_1499,0.0
landscape_feat_1500,0.0
landscape_feat_1501,0.0
landscape_feat_1502,0.0
landscape_feat_1503,0.0
landscape_feat_1504,0.0
landscape_feat_1506,0.0
landscape_feat_1489,0.0
landscape_feat_1488,0.0
landscape_feat_1487,0.0
landscape_feat_1486,0.0
landscape_feat_1471,0.0
landscape_feat_1472,0.0
landscape_feat_1473,0.0
landscape_feat_1474,0.0
landscape_feat_1475,0.0
landscape_feat_1476,0.0
landscape_feat_1477,0.0
landscape_feat_1478,0.0
landscape_feat_1479,0.0
landscape_feat_1480,0.0
landscape_feat_1481,0.0
landscape_feat_1482,0.0
landscape_feat_1483,0.0
landscape_feat_1484,0.0
landscape_feat_1485,0.0
landscape_feat_1508,0.0
landscape_feat_1511,0.0
landscape_feat_1559,0.0
landscape_feat_1548,0.0
landscape_feat_1539,0.0
landscape_feat_1541,0.0
landscape_feat_1542,0.0
landscape_feat_1543,0.0
landscape_feat_1545,0.0
landscape_feat_1546,0.0
landscape_feat_1547,0.0
landscape_feat_1549,0.0
landscape_feat_1512,0.0
landscape_feat_1550,0.0
landscape_feat_1552,0.0
landscape_feat_1553,0.0
landscape_feat_1554,0.0
landscape_feat_1555,0.0
landscape_feat_1556,0.0
landscape_feat_1557,0.0
landscape_feat_1538,0.0
landscape_feat_1537,0.0
landscape_feat_1535,0.0
landscape_feat_1534,0.0
landscape_feat_1513,0.0
landscape_feat_1515,0.0
landscape_feat_1516,0.0
landscape_feat_1519,0.0
landscape_feat_1520,0.0
landscape_feat_1522,0.0
landscape_feat_1523,0.0
landscape_feat_1525,0.0
landscape_feat_1526,0.0
landscape_feat_1528,0.0
landscape_feat_1529,0.0
landscape_feat_1530,0.0
landscape_feat_1531,0.0
landscape_feat_1532,0.0
landscape_feat_1533,0.0
landscape_feat_1470,0.0
landscape_feat_1469,0.0
landscape_feat_1468,0.0
landscape_feat_1420,0.0
landscape_feat_1413,0.0
landscape_feat_1414,0.0
landscape_feat_1415,0.0
landscape_feat_1416,0.0
landscape_feat_1417,0.0
landscape_feat_1418,0.0
landscape_feat_1419,0.0
landscape_feat_1421,0.0
landscape_feat_1467,0.0
landscape_feat_1422,0.0
landscape_feat_1423,0.0
landscape_feat_1424,0.0
landscape_feat_1425,0.0
landscape_feat_1426,0.0
landscape_feat_1427,0.0
landscape_feat_1428,0.0
landscape_feat_1412,0.0
landscape_feat_1411,0.0
landscape_feat_1410,0.0
landscape_feat_1409,0.0
landscape_feat_1394,0.0
landscape_feat_1395,0.0
landscape_feat_1396,0.0
landscape_feat_1397,0.0
landscape_feat_1398,0.0
landscape_feat_1399,0.0
landscape_feat_1400,0.0
landscape_feat_1401,0.0
landscape_feat_1402,0.0
landscape_feat_1403,0.0
landscape_feat_1404,0.0
landscape_feat_1405,0.0
landscape_feat_1406,0.0
landscape_feat_1407,0.0
landscape_feat_1408,0.0
landscape_feat_1429,0.0
landscape_feat_1430,0.0
landscape_feat_1431,0.0
landscape_feat_1450,0.0
landscape_feat_1452,0.0
landscape_feat_1453,0.0
landscape_feat_1454,0.0
landscape_feat_1455,0.0
landscape_feat_1456,0.0
landscape_feat_1457,0.0
landscape_feat_1458,0.0
landscape_feat_1459,0.0
landscape_feat_1460,0.0
landscape_feat_1461,0.0
landscape_feat_1462,0.0
landscape_feat_1463,0.0
landscape_feat_1464,0.0
landscape_feat_1465,0.0
landscape_feat_1466,0.0
landscape_feat_1451,0.0
landscape_feat_1449,0.0
landscape_feat_1432,0.0
landscape_feat_1448,0.0
landscape_feat_1433,0.0
landscape_feat_1434,0.0
landscape_feat_1435,0.0
landscape_feat_1436,0.0
landscape_feat_1437,0.0
landscape_feat_1438,0.0
landscape_feat_1439,0.0
landscape_feat_1440,0.0
landscape_feat_1441,0.0
landscape_feat_1442,0.0
landscape_feat_1443,0.0
landscape_feat_1444,0.0
landscape_feat_1445,0.0
landscape_feat_1446,0.0
landscape_feat_1447,0.0
landscape_feat_1558,0.0
landscape_feat_1561,0.0
landscape_feat_1755,0.0
landscape_feat_1691,0.0
landscape_feat_1684,0.0
landscape_feat_1685,0.0
landscape_feat_1686,0.0
landscape_feat_1687,0.0
landscape_feat_1688,0.0
landscape_feat_1689,0.0
landscape_feat_1690,0.0
landscape_feat_1696,0.0
landscape_feat_1710,0.0
landscape_feat_1697,0.0
landscape_feat_1698,0.0
landscape_feat_1700,0.0
landscape_feat_1702,0.0
landscape_feat_1703,0.0
landscape_feat_1704,0.0
landscape_feat_1705,0.0
landscape_feat_1682,0.0
landscape_feat_1680,0.0
landscape_feat_1678,0.0
landscape_feat_1677,0.0
landscape_feat_1660,0.0
landscape_feat_1661,0.0
landscape_feat_1662,0.0
landscape_feat_1663,0.0
landscape_feat_1665,0.0
landscape_feat_1666,0.0
landscape_feat_1667,0.0
landscape_feat_1668,0.0
landscape_feat_1669,0.0
landscape_feat_1670,0.0
landscape_feat_1671,0.0
landscape_feat_1673,0.0
landscape_feat_1674,0.0
landscape_feat_1675,0.0
landscape_feat_1676,0.0
landscape_feat_1708,0.0
landscape_feat_1711,0.0
landscape_feat_1562,0.0
landscape_feat_1745,0.0
landscape_feat_1738,0.0
landscape_feat_1739,0.0
landscape_feat_1740,0.0
landscape_feat_1741,0.0
landscape_feat_1742,0.0
landscape_feat_1743,0.0
landscape_feat_1744,0.0
landscape_feat_1746,0.0
landscape_feat_1713,0.0
landscape_feat_1747,0.0
landscape_feat_1748,0.0
landscape_feat_1749,0.0
landscape_feat_1750,0.0
landscape_feat_1751,0.0
landscape_feat_1752,0.0
landscape_feat_1754,0.0
landscape_feat_1737,0.0
landscape_feat_1736,0.0
landscape_feat_1735,0.0
landscape_feat_1734,0.0
landscape_feat_1714,0.0
landscape_feat_1715,0.0
landscape_feat_1716,0.0
landscape_feat_1717,0.0
landscape_feat_1718,0.0
landscape_feat_1719,0.0
landscape_feat_1720,0.0
landscape_feat_1722,0.0
landscape_feat_1723,0.0
landscape_feat_1726,0.0
landscape_feat_1727,0.0
landscape_feat_1728,0.0
landscape_feat_1729,0.0
landscape_feat_1730,0.0
landscape_feat_1732,0.0
landscape_feat_1658,0.0
landscape_feat_1657,0.0
landscape_feat_1656,0.0
landscape_feat_1592,0.0
landscape_feat_1584,0.0
landscape_feat_1585,0.0
landscape_feat_1586,0.0
landscape_feat_1587,0.0
landscape_feat_1588,0.0
landscape_feat_1589,0.0
landscape_feat_1590,0.0
landscape_feat_1593,0.0
landscape_feat_1653,0.0
landscape_feat_1594,0.0
landscape_feat_1595,0.0
landscape_feat_1598,0.0
landscape_feat_1599,0.0
landscape_feat_1601,0.0
landscape_feat_1602,0.0
